alpha,CL,CD,CDp,Cm,Top,Xtr,Bot,Xtr,Cpmin,Chinge,XCp
13.500,1.6437,0.01750,0.01282,-0.0192,0.0071,1.0000,-8.7776,0.0000,0.0000,0.0000,0.2431
13.600,1.6483,0.01782,0.01317,-0.0181,0.0070,1.0000,-8.8721,0.0000,0.0000,0.0000,0.2422
13.700,1.6528,0.01815,0.01354,-0.0171,0.0069,1.0000,-8.9664,0.0000,0.0000,0.0000,0.2414
13.800,1.6586,0.01843,0.01384,-0.0163,0.0069,1.0000,-9.0738,0.0000,0.0000,0.0000,0.2407
13.900,1.6642,0.01870,0.01413,-0.0155,0.0069,1.0000,-9.1825,0.0000,0.0000,0.0000,0.2399
14.000,1.6697,0.01899,0.01443,-0.0147,0.0069,1.0000,-9.2907,0.0000,0.0000,0.0000,0.2392
14.100,1.6753,0.01928,0.01474,-0.0139,0.0069,1.0000,-9.4006,0.0000,0.0000,0.0000,0.2385
14.200,1.6809,0.01958,0.01506,-0.0131,0.0069,1.0000,-9.5114,0.0000,0.0000,0.0000,0.2378
14.300,1.6862,0.01990,0.01541,-0.0124,0.0069,1.0000,-9.6200,0.0000,0.0000,0.0000,0.2372
14.400,1.6915,0.02024,0.01576,-0.0116,0.0069,1.0000,-9.7295,0.0000,0.0000,0.0000,0.2365
14.500,1.6969,0.02057,0.01611,-0.0109,0.0069,1.0000,-9.8403,0.0000,0.0000,0.0000,0.2358
14.600,1.7018,0.02093,0.01648,-0.0102,0.0068,1.0000,-9.9484,0.0000,0.0000,0.0000,0.2352
14.700,1.7064,0.02130,0.01688,-0.0094,0.0068,1.0000,-10.0548,0.0000,0.0000,0.0000,0.2345
14.800,1.7113,0.02168,0.01728,-0.0087,0.0068,1.0000,-10.1638,0.0000,0.0000,0.0000,0.2339
14.900,1.7162,0.02207,0.01768,-0.0080,0.0068,1.0000,-10.2738,0.0000,0.0000,0.0000,0.2332
15.000,1.7206,0.02250,0.01814,-0.0073,0.0068,1.0000,-10.3799,0.0000,0.0000,0.0000,0.2326
15.100,1.7251,0.02294,0.01859,-0.0067,0.0068,1.0000,-10.4877,0.0000,0.0000,0.0000,0.2320
15.200,1.7298,0.02337,0.01904,-0.0061,0.0068,1.0000,-10.5980,0.0000,0.0000,0.0000,0.2314
15.300,1.7340,0.02384,0.01954,-0.0055,0.0068,1.0000,-10.7042,0.0000,0.0000,0.0000,0.2309
15.400,1.7380,0.02434,0.02007,-0.0049,0.0068,1.0000,-10.8094,0.0000,0.0000,0.0000,0.2303
15.500,1.7422,0.02483,0.02057,-0.0043,0.0068,1.0000,-10.9166,0.0000,0.0000,0.0000,0.2297
15.600,1.7459,0.02535,0.02112,-0.0037,0.0068,1.0000,-11.0213,0.0000,0.0000,0.0000,0.2291
15.700,1.7491,0.02593,0.02171,-0.0031,0.0068,1.0000,-11.1219,0.0000,0.0000,0.0000,0.2286
15.800,1.7529,0.02649,0.02229,-0.0026,0.0068,1.0000,-11.2271,0.0000,0.0000,0.0000,0.2281
15.900,1.7565,0.02706,0.02289,-0.0021,0.0068,1.0000,-11.3320,0.0000,0.0000,0.0000,0.2275
16.000,1.7593,0.02773,0.02358,-0.0016,0.0068,1.0000,-11.4304,0.0000,0.0000,0.0000,0.2270
16.100,1.7627,0.02836,0.02423,-0.0012,0.0067,1.0000,-11.5335,0.0000,0.0000,0.0000,0.2266
16.200,1.7660,0.02900,0.02490,-0.0008,0.0067,1.0000,-11.6371,0.0000,0.0000,0.0000,0.2261
16.300,1.7683,0.02976,0.02568,-0.0004,0.0067,1.0000,-11.7318,0.0000,0.0000,0.0000,0.2256
16.400,1.7711,0.03048,0.02642,-0.0001,0.0067,1.0000,-11.8319,0.0000,0.0000,0.0000,0.2252
16.500,1.7740,0.03120,0.02717,0.0003,0.0067,1.0000,-11.9323,0.0000,0.0000,0.0000,0.2248
